Due_date,Due_month,Due_band,Tenure_band,new_old,disbursal_category,reloan_type,payment_tenure,state,zone,cnt_due,amt_due,cnt_paid,collection_amount,sanction_amount
2025-10-30,2025-10-01,<10K,26-30D,New,I,,plus_1,KARNATAKA,South,1,5547.0,1,6020,4300.0
2025-10-30,2025-10-01,30K-40K,>45D,New,C,,plus_90+,BIHAR,East,1,38700.0,0,7100,390000.0
2025-10-30,2025-10-01,30K-40K,>45D,New,C,,plus_31_60,BIHAR,East,0,0.0,0,2200,120000.0
2025-10-30,2025-10-01,<10K,26-30D,Old,H,re_loan_normal_approved,minus_2,MAHARASHTRA,West,1,4480.0,1,4480,3500.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_90+,MAHARASHTRA,West,6,34810.0,0,,28000.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_90+,ANDHRA PRADESH,South,3,17220.0,0,,14000.0
2025-10-30,2025-10-01,30K-40K,31-35D,New,E,,plus_6,KERALA,South,1,38144.0,1,39000,29800.0
2025-10-30,2025-10-01,10K-20K,<15D,New,E,,minus_15,KARNATAKA,South,1,19840.0,1,19840,15500.0
2025-10-30,2025-10-01,<10K,21-25D,New,I,,minus_6,MAHARASHTRA,West,1,3072.0,1,3072,2400.0
2025-10-30,2025-10-01,<10K,16-25D,Old,J,re_loan_normal_approved,minus_8,ANDHRA PRADESH,South,1,3968.0,1,3000,3100.0
2025-10-30,2025-10-01,<10K,16-25D,Old,J,re_loan_normal_approved,minus_15,ANDHRA PRADESH,South,0,0.0,0,968,3100.0
2025-10-30,2025-10-01,<10K,<15D,New,H,,minus_13,HARYANA,North,1,1536.0,1,1300,1200.0
2025-10-30,2025-10-01,<10K,<15D,New,H,,minus_15,HARYANA,North,0,0.0,0,236,1200.0
2025-10-30,2025-10-01,30K-40K,26-30D,New,E,,minus_1,ANDHRA PRADESH,South,1,32000.0,1,31950,50000.0
2025-10-30,2025-10-01,10K-20K,26-30D,New,E,,DD,UTTAR PRADESH,North,1,13462.0,1,13462,10600.0
2025-10-30,2025-10-01,<10K,31-35D,Old,NF,re_loan_normal_approved,plus_5,MAHARASHTRA,West,1,4318.0,1,4400,3400.0
2025-10-30,2025-10-01,20K-30K,26-30D,New,E,,DD,ANDHRA PRADESH,South,1,26289.0,1,26289,20700.0
2025-10-30,2025-10-01,<10K,<15D,New,A,,minus_15,TELANGANA,South,1,6858.0,1,6858,5400.0
2025-10-30,2025-10-01,<10K,26-30D,New,H,,minus_1,BIHAR,East,1,3302.0,1,3302,2600.0
2025-10-30,2025-10-01,<10K,26-30D,New,H,,minus_1,,,1,1778.0,1,1778,1400.0
2025-10-30,2025-10-01,<10K,<15D,New,NF,,minus_12,ANDHRA PRADESH,South,2,13416.0,2,13416,10800.0
2025-10-30,2025-10-01,10K-20K,26-30D,New,H,,minus_1,MAHARASHTRA,West,1,16510.0,1,16510,13000.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,G,,minus_2,UTTAR PRADESH,North,1,13335.0,1,13335,10500.0
2025-10-30,2025-10-01,<10K,26-30D,New,I,,minus_1,MAHARASHTRA,West,1,4953.0,1,4953,3900.0
2025-10-30,2025-10-01,<10K,21-25D,Old,E,re_loan_normal_approved,DD,UTTAR PRADESH,North,1,1625.0,1,1625,1300.0
2025-10-30,2025-10-01,<10K,<15D,New,H,,minus_15,GUJARAT,West,1,5625.0,1,5625,4500.0
2025-10-30,2025-10-01,10K-20K,16-25D,New,E,,minus_7,ODISHA,East,1,19375.0,1,19375,15500.0
2025-10-30,2025-10-01,<10K,16-25D,New,J,,minus_5,BIHAR,East,1,7375.0,1,7375,5900.0
2025-10-30,2025-10-01,<10K,<15D,New,J,,minus_12,UTTAR PRADESH,North,1,4375.0,1,4375,3500.0
2025-10-30,2025-10-01,<10K,21-25D,New,J,,minus_3,UTTAR PRADESH,North,1,3100.0,1,4400,6500.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,H,,minus_2,KARNATAKA,South,1,11625.0,1,6625,55800.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,H,,minus_10,KARNATAKA,South,0,0.0,0,5000,9300.0
2025-10-30,2025-10-01,<10K,21-25D,New,H,,minus_1,UTTAR PRADESH,North,3,17260.0,3,17260,14000.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,D,,minus_1,UTTAR PRADESH,North,1,13500.0,1,13500,10800.0
2025-10-30,2025-10-01,<10K,>45D,New,H,,plus_90+,KARNATAKA,South,2,10400.0,0,,8600.0
2025-10-30,2025-10-01,10K-20K,>45D,New,E,,plus_90+,TAMIL NADU,South,2,28000.0,0,,23000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,D,,plus_90+,PUDUCHERRY,South,1,19750.0,0,20000,47400.0
2025-10-30,2025-10-01,30K-40K,21-25D,New,NF,,DD,RAJASTHAN,North,2,62250.0,2,62250,50000.0
2025-10-30,2025-10-01,20K-30K,21-25D,New,NF,,minus_1,RAJASTHAN,North,2,45850.0,2,45850,37000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,ANDHRA PRADESH,South,6,86450.0,1,14469,92000.0
2025-10-30,2025-10-01,30K-40K,16-25D,New,NF,,minus_5,MADHYA PRADESH,West,2,68500.0,2,68500,55000.0
2025-10-30,2025-10-01,20K-30K,21-25D,New,NF,,DD,TELANGANA,South,2,46080.0,2,46080,37000.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,NF,,minus_2,HARYANA,North,3,55650.0,3,55650,45000.0
2025-10-30,2025-10-01,20K-30K,21-25D,New,NF,,minus_1,MAHARASHTRA,West,2,46050.0,2,46050,37000.0
2025-10-30,2025-10-01,20K-30K,21-25D,New,NF,,minus_2,ANDHRA PRADESH,South,2,51300.0,2,51300,41200.0
2025-10-30,2025-10-01,20K-30K,>45D,New,NF,,plus_11_15,UTTAR PRADESH,North,1,25375.0,0,8000,40600.0
2025-10-30,2025-10-01,30K-40K,21-25D,New,NF,,minus_3,UTTARAKHAND,North,2,68450.0,2,68450,55000.0
2025-10-30,2025-10-01,10K-20K,16-25D,New,NF,,minus_9,ODISHA,East,1,18625.0,1,18625,14900.0
2025-10-30,2025-10-01,20K-30K,21-25D,New,NF,,minus_1,DELHI,North,1,29250.0,1,29250,23400.0
2025-10-30,2025-10-01,10K-20K,16-25D,New,NF,,minus_9,GUJARAT,West,1,12625.0,1,12625,10100.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,NF,,DD,MAHARASHTRA,West,5,70660.0,5,70660,57000.0
2025-10-30,2025-10-01,<10K,21-25D,Old,NF,re_loan_normal_approved,minus_1,JHARKHAND,East,1,3375.0,1,375,2700.0
2025-10-30,2025-10-01,<10K,21-25D,Old,NF,re_loan_normal_approved,minus_2,JHARKHAND,East,0,0.0,0,1000,2700.0
2025-10-30,2025-10-01,<10K,21-25D,Old,NF,re_loan_normal_approved,minus_5,JHARKHAND,East,0,0.0,0,2000,2700.0
2025-10-30,2025-10-01,30K-40K,21-25D,New,NF,,DD,GUJARAT,West,2,68500.0,2,68290,55000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,KERALA,South,2,33600.0,0,,27000.0
2025-10-30,2025-10-01,<10K,21-25D,New,I,,minus_1,MAHARASHTRA,West,3,21140.0,3,15739,17000.0
2025-10-30,2025-10-01,30K-40K,21-25D,New,NF,,DD,ANDHRA PRADESH,South,2,62250.0,2,62250,50000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,ODISHA,East,4,50510.0,0,,41000.0
2025-10-30,2025-10-01,30K-40K,21-25D,New,NF,,minus_1,GUJARAT,West,1,32875.0,1,32875,26300.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,NF,,minus_1,MADHYA PRADESH,West,2,28520.0,2,17520,23000.0
2025-10-30,2025-10-01,<10K,21-25D,New,H,,minus_1,GUJARAT,West,1,6820.0,1,6820,5500.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,NF,,DD,MADHYA PRADESH,West,3,46698.0,3,46698,37900.0
2025-10-30,2025-10-01,30K-40K,21-25D,New,NF,,minus_2,HARYANA,North,2,63841.0,2,63841,51700.0
2025-10-30,2025-10-01,10K-20K,16-25D,New,NF,,minus_5,WEST BENGAL,East,1,11160.0,1,11160,9000.0
2025-10-30,2025-10-01,<10K,21-25D,New,NF,,minus_1,UTTAR PRADESH,North,4,33340.0,4,33340,35000.0
2025-10-30,2025-10-01,20K-30K,16-25D,New,NF,,minus_4,RAJASTHAN,North,1,21080.0,1,21080,17000.0
2025-10-30,2025-10-01,<10K,21-25D,New,NF,,DD,HARYANA,North,4,22890.0,4,22890,18500.0
2025-10-30,2025-10-01,<10K,21-25D,New,NF,,minus_3,JAMMU AND KASHMIR,North,1,2604.0,1,2604,2100.0
2025-10-30,2025-10-01,<10K,>45D,New,H,,plus_90+,TELANGANA,South,2,17240.0,0,,14000.0
2025-10-30,2025-10-01,30K-40K,>45D,New,NF,,plus_90+,TELANGANA,South,4,146400.0,0,,120000.0
2025-10-30,2025-10-01,<10K,16-25D,New,H,,minus_8,ODISHA,East,1,7688.0,1,7688,6200.0
2025-10-30,2025-10-01,30K-40K,21-25D,New,NF,,DD,PUNJAB,North,1,31000.0,1,31000,50000.0
2025-10-30,2025-10-01,20K-30K,16-25D,New,NF,,minus_7,GUJARAT,West,1,20212.0,1,20212,16300.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,E,,DD,MAHARASHTRA,West,1,15500.0,1,15500,12500.0
2025-10-30,2025-10-01,10K-20K,16-25D,New,NF,,minus_6,ANDHRA PRADESH,South,1,16120.0,1,16120,13000.0
2025-10-30,2025-10-01,<10K,16-25D,New,NF,,minus_6,MAHARASHTRA,West,2,18094.0,2,18094,14700.0
2025-10-30,2025-10-01,<10K,16-25D,New,NF,,minus_4,RAJASTHAN,North,2,17360.0,2,17360,14000.0
